Periodo	Exportação	Importação
1/1/02	47628659	223202376
1/2/02	71797317	170927961
1/3/02	101690190	229115095
1/4/02	88088588	286116512
1/5/02	90398372	276614740
1/6/02	78797126	245831768
1/7/02	106003925	298149639
1/8/02	101430370	283972083
1/9/02	90991125	295765873
1/10/02	109375515	295623827
1/11/02	102950781	305658035
1/12/02	74151645	170127807
1/1/03	59779516	229862595
1/2/03	90657674	222722500
1/3/03	86305205	288392871
1/4/03	113822595	305948591
1/5/03	109974510	292436353
1/6/03	113824019	243675710
1/7/03	129236059	264377101
1/8/03	121789788	273684396
1/9/03	132087744	351792426
1/10/03	139499261	406194709
1/11/03	120075860	308327415
1/12/03	82203061	227760580
1/1/04	61205540	285137693
1/2/04	59535771	220881939
1/3/04	79070562	356043990
1/4/04	75435671	305484271
1/5/04	96863854	287964259
1/6/04	88112313	360703051
1/7/04	95828620	411281133
1/8/04	97614567	451946704
1/9/04	101515420	452324891
1/10/04	151420846	418494440
1/11/04	136465440	433822136
1/12/04	112096720	296958242
1/1/05	103140992	342024684
1/2/05	160093325	316905665
1/3/05	206947003	388295591
1/4/05	227625819	422958599
1/5/05	175616646	399379133
1/6/05	189033266	439267625
1/7/05	171680135	474115672
1/8/05	156428770	546780783
1/9/05	189849375	526374865
1/10/05	198294450	469024703
1/11/05	188932198	489475183
1/12/05	176072394	365040559
1/1/06	101359451	429572587
1/2/06	148086667	417088185
1/3/06	185470450	633826629
1/4/06	108003853	535140503
1/5/06	146196669	592307580
1/6/06	123614601	579441935
1/7/06	138309805	556408881
1/8/06	153306405	541827060
1/9/06	130586229	540539868
1/10/06	111714830	535968904
1/11/06	103758945	457780380
1/12/06	66322461	370352165
1/1/07	68052806	437412224
1/2/07	54145584	448266736
1/3/07	75264781	566131710
1/4/07	83705946	522073876
1/5/07	96541947	582981282
1/6/07	85201466	563684994
1/7/07	104543176	605021968
1/8/07	107140083	694349158
1/9/07	102852540	613273493
1/10/07	125401429	756412801
1/11/07	96398917	643308290
1/12/07	98758642	466667675
1/1/08	86629298	766842752
1/2/08	85585654	620186378
1/3/08	77051420	761578610
1/4/08	92861609	816794236
1/5/08	107939689	843033888
1/6/08	126625270	773270703
1/7/08	110272209	1074452363
1/8/08	116954599	963073232
1/9/08	129917212	1128626059
1/10/08	139228336	1115386438
1/11/08	102504965	717935978
1/12/08	82539082	536265888
1/1/09	55515850	501599068
1/2/09	63539558	407552968
1/3/09	76664347	494555761
1/4/09	59169835	520535736
1/5/09	61830467	444903285
1/6/09	58266696	506342954
