Periodo	Comércio
1/1/04	42,1
1/2/04	42,3
1/3/04	41,2
1/4/04	44,8
1/5/04	46,6
1/6/04	48,2
1/7/04	47,5
1/8/04	46,2
1/9/04	48,8
1/10/04	48,9
1/11/04	49,3
1/12/04	48,6
1/1/05	51
1/2/05	54,5
1/3/05	55,5
1/4/05	55,6
1/5/05	56,2
1/6/05	57,4
1/7/05	58,1
1/8/05	57,8
1/9/05	57,1
1/10/05	58,4
1/11/05	58,6
1/12/05	61,7
1/1/06	62,4
1/2/06	63,4
1/3/06	62,4
1/4/06	63,9
1/5/06	63,7
1/6/06	62,4
1/7/06	67,8
1/8/06	70,8
1/9/06	73,5
1/10/06	75
1/11/06	77,5
1/12/06	80,2
1/1/07	75,5
1/2/07	76,1
1/3/07	77,4
1/4/07	77,8
1/5/07	79
1/6/07	77,1
1/7/07	77,2
1/8/07	80,1
1/9/07	78,3
1/10/07	79,7
1/11/07	84,4
1/12/07	82
1/1/08	82
1/2/08	81,1
1/3/08	82,1
1/4/08	85,4
1/5/08	85,7
1/6/08	84
1/7/08	85,3
1/8/08	82
1/9/08	85,5
1/10/08	82,6
1/11/08	80,2
1/12/08	79,8
1/1/09	81,1
1/2/09	81
1/3/09	82,8
1/4/09	79,2
1/5/09	80
1/6/09	83,3
1/7/09	81,7
1/8/09	81,6
1/9/09	87,3
1/10/09	83,9
1/11/09	85,9
1/12/09	84,3
1/1/10	87,3
1/2/10	88,4
1/3/10	92,6
1/4/10	88,1
1/5/10	86,2
1/6/10	88,6
1/7/10	91,3
1/8/10	91,8
1/9/10	92,6
1/10/10	92,5
1/11/10	89,6
1/12/10	91,6
1/1/11	92,3
1/2/11	91,3
1/3/11	91,1
1/4/11	90
1/5/11	93,3
1/6/11	93,2
1/7/11	92,3
1/8/11	93,4
1/9/11	90,5
1/10/11	89,8
1/11/11	95,5
1/12/11	95,7
1/1/12	90,8
1/2/12	92,6
1/3/12	94,6
1/4/12	96,1
1/5/12	95,8
1/6/12	95,4
1/7/12	94,1
1/8/12	95,6
1/9/12	91,3
1/10/12	92
1/11/12	92,7
1/12/12	94,8
1/1/13	92,9
1/2/13	96,7
1/3/13	96,8
1/4/13	98,2
1/5/13	97,3
1/6/13	97,4
1/7/13	98,4
1/8/13	97,8
1/9/13	99,1
1/10/13	100,2
1/11/13	99,4
1/12/13	103,1
1/1/14	100,5
1/2/14	97,7
1/3/14	97,4
1/4/14	97,1
1/5/14	106,2
1/6/14	96,6
1/7/14	99,1
1/8/14	99,9
1/9/14	102,4
1/10/14	103,6
1/11/14	104,6
1/12/14	95,7
1/1/15	97,5
1/2/15	94,2
1/3/15	92,6
1/4/15	93,6
1/5/15	91,4
1/6/15	90,9
1/7/15	88,6
1/8/15	88,2
1/9/15	87,3
1/10/15	85,5
1/11/15	85,5
1/12/15	79,5
1/1/16	83
1/2/16	83,5
1/3/16	82,4
1/4/16	78,9
1/5/16	79,1
1/6/16	78,9
1/7/16	77,3
1/8/16	76,6
1/9/16	76,1
1/10/16	77,5
1/11/16	76,7
1/12/16	79,3
1/1/17	86,3
1/2/17	85,3
1/3/17	83,7
1/4/17	87,2
1/5/17	87
1/6/17	87,5
1/7/17	89,4
1/8/17	89,1
1/9/17	91,4
1/10/17	91,9
1/11/17	92,6
1/12/17	95,2
1/1/18	98,1
1/2/18	96,9
1/3/18	97,1
1/4/18	96,2
1/5/18	96,8
1/6/18	92,4
1/7/18	93,6
1/8/18	97,9
1/9/18	98
1/10/18	98,7
1/11/18	101,7
1/12/18	100,9
1/1/19	99,4
1/2/19	99,2
1/3/19	100
1/4/19	100,3
1/5/19	100,6
1/6/19	103,5
1/7/19	103,3
1/8/19	103,5
1/9/19	105,8
1/10/19	107
1/11/19	110,4
1/12/19	107,4
1/1/20	109,8
1/2/20	109,7
1/3/20	89,4
1/4/20	70,1
1/5/20	83,8
1/6/20	115,9
1/7/20	125,9
1/8/20	125,6
1/9/20	125,5
1/10/20	126,6
1/11/20	125,7
1/12/20	123,5
1/1/21	81,2
1/2/21	98,1
1/3/21	113,5
