Periodo	IF
1/1/02	70
1/2/02	69
1/3/02	66,8
1/4/02	69,1
1/5/02	67,1
1/6/02	70,1
1/7/02	68,4
1/8/02	67,1
1/9/02	70,1
1/10/02	70,2
1/11/02	70,6
1/12/02	73,8
1/1/03	67
1/2/03	68,5
1/3/03	67,2
1/4/03	66,7
1/5/03	65,1
1/6/03	67,8
1/7/03	81
1/8/03	74,6
1/9/03	75,9
1/10/03	75,9
1/11/03	78,3
1/12/03	74,9
1/1/04	79
1/2/04	71,3
1/3/04	78,3
1/4/04	78,2
1/5/04	80,7
1/6/04	80,3
1/7/04	80,3
1/8/04	82,1
1/9/04	82,8
1/10/04	83,1
1/11/04	86,2
1/12/04	89,2
1/1/05	85,4
1/2/05	87,9
1/3/05	89,5
1/4/05	95
1/5/05	102,1
1/6/05	105,8
1/7/05	92,1
1/8/05	86,6
1/9/05	86,8
1/10/05	92,3
1/11/05	85,2
1/12/05	85,4
1/1/06	86,2
1/2/06	101,8
1/3/06	96,5
1/4/06	90,4
1/5/06	90,3
1/6/06	87,8
1/7/06	90,9
1/8/06	87,3
1/9/06	89
1/10/06	84,7
1/11/06	89,9
1/12/06	88,3
1/1/07	88,8
1/2/07	90,4
1/3/07	93,8
1/4/07	95,8
1/5/07	90,8
1/6/07	93,7
1/7/07	90,8
1/8/07	98,9
1/9/07	92,9
1/10/07	94
1/11/07	96,1
1/12/07	99,7
1/1/08	103,6
1/2/08	102,6
1/3/08	97
1/4/08	95,5
1/5/08	98,7
1/6/08	98,3
1/7/08	96,7
1/8/08	97,8
1/9/08	100,6
1/10/08	98,4
1/11/08	90,8
1/12/08	87,5
1/1/09	78,5
1/2/09	83,5
1/3/09	82,6
1/4/09	77,5
1/5/09	90,4
1/6/09	85,5
1/7/09	89,2
1/8/09	93,2
1/9/09	93,7
1/10/09	98,6
1/11/09	100,4
1/12/09	93,4
1/1/10	107
1/2/10	103,1
1/3/10	113,1
1/4/10	106,7
1/5/10	105
1/6/10	105,9
1/7/10	103
1/8/10	100,7
1/9/10	98,3
1/10/10	98
1/11/10	103
1/12/10	101,7
1/1/11	103,2
1/2/11	104,9
1/3/11	104,6
1/4/11	107,5
1/5/11	112,7
1/6/11	107,1
1/7/11	110,6
1/8/11	104,6
1/9/11	109,5
1/10/11	114,1
1/11/11	103,5
1/12/11	104,9
1/1/12	106
1/2/12	100,4
1/3/12	100,2
1/4/12	97,5
1/5/12	97,3
1/6/12	102,5
1/7/12	81,8
1/8/12	105,9
1/9/12	104
1/10/12	95,8
1/11/12	103,8
1/12/12	104,2
1/1/13	99,7
1/2/13	101,8
1/3/13	104,4
1/4/13	107,3
1/5/13	107
1/6/13	105,9
1/7/13	103,5
1/8/13	107,5
1/9/13	107,6
1/10/13	107,6
1/11/13	110,7
1/12/13	108,9
1/1/14	110,8
1/2/14	113
1/3/14	119,2
1/4/14	107,1
1/5/14	99,4
1/6/14	88,9
1/7/14	100,9
1/8/14	97,8
1/9/14	96,4
1/10/14	99,5
1/11/14	95,8
1/12/14	100,1
1/1/15	98
1/2/15	96,7
1/3/15	88,1
1/4/15	87,1
1/5/15	87,8
1/6/15	83,9
1/7/15	82
1/8/15	84,5
1/9/15	84
1/10/15	78,9
1/11/15	76,1
1/12/15	71,7
1/1/16	69,5
1/2/16	68,8
1/3/16	78,4
1/4/16	68,8
1/5/16	82,3
1/6/16	77,1
1/7/16	79,5
1/8/16	75,4
1/9/16	76,9
1/10/16	73,5
1/11/16	76,3
1/12/16	75,2
1/1/17	72,6
1/2/17	75,4
1/3/17	72,2
1/4/17	76,3
1/5/17	77,7
1/6/17	79,4
1/7/17	77,3
1/8/17	81,5
1/9/17	81,7
1/10/17	82
1/11/17	78,4
1/12/17	89,7
1/1/18	90,9
1/2/18	86,2
1/3/18	88,2
1/4/18	85,8
1/5/18	82,6
1/6/18	80,4
1/7/18	81,4
1/8/18	77,2
1/9/18	72,8
1/10/18	81,1
1/11/18	77,4
1/12/18	76,6
1/1/19	82,6
1/2/19	85,5
1/3/19	85,9
1/4/19	85,5
1/5/19	87,2
1/6/19	88,3
1/7/19	78,6
1/8/19	87,4
1/9/19	85,3
1/10/19	87,1
1/11/19	85,9
1/12/19	85,8
1/1/20	87,6
1/2/20	85,7
1/3/20	73,9
1/4/20	38,5
1/5/20	45,1
1/6/20	76,6
1/7/20	86,9
1/8/20	89,9
1/9/20	94,3
1/10/20	93,1
1/11/20	96,7
1/12/20	91,9
1/1/21	81,2
1/2/21	80,6
1/3/21	86,9
