Mês	Ano	Emprego	Indústria	Comércio
JAN	2016	415019	69,5	83
FEV	2016	412329	68,8	83,5
MAR	2016	408738	78,4	82,4
ABR	2016	406693	68,8	78,9
MAI	2016	405769	82,3	79,1
JUN	2016	404538	77,1	78,9
JUL	2016	403866	79,5	77,3
AGO	2016	404849	75,4	76,6
SET	2016	405344	76,9	76,1
OUT	2016	405853	73,5	77,5
NOV	2016	404774	76,3	76,7
DEZ	2016	399742	75,2	79,3
JAN	2017	398316	72,6	86,3
FEV	2017	396542	75,4	85,3
MAR	2017	394842	72,2	83,7
ABR	2017	394582	76,3	87,2
MAI	2017	394357	77,7	87
JUN	2017	394256	79,4	87,5
JUL	2017	396144	77,3	89,4
AGO	2017	397501	81,5	89,1
SET	2017	397797	81,7	91,4
OUT	2017	400402	82	91,9
NOV	2017	400797	78,4	92,6
DEZ	2017	398795	89,7	95,2
JAN	2018	398023	90,9	98,1
FEV	2018	398078	86,2	96,9
MAR	2018	398626	88,2	97,1
ABR	2018	398393	85,8	96,2
MAI	2018	397182	82,6	96,8
JUN	2018	397811	80,4	92,4
JUL	2018	399094	81,4	93,6
AGO	2018	400886	77,2	97,9
SET	2018	402700	72,8	98
OUT	2018	403884	81,1	98,7
NOV	2018	404172	77,4	101,7
DEZ	2018	402570	76,6	100,9
JAN	2019	401859	82,6	99,4
FEV	2019	403284	85,5	99,2
MAR	2019	403441	85,9	100
ABR	2019	405084	85,5	100,3
MAI	2019	406146	87,2	100,6
JUN	2019	407829	88,3	103,5
JUL	2019	409957	78,6	103,3
AGO	2019	411862	87,4	103,5
SET	2019	413528	85,3	105,8
OUT	2019	414179	87,1	107
NOV	2019	415768	85,9	110,4
DEZ	2019	411811	85,8	107,4
JAN	2020	412739	87,6	109,8
FEV	2020	414453	85,7	109,7
MAR	2020	411046	73,9	89,4
ABR	2020	400941	38,5	70,1
MAI	2020	395835	45,1	83,8
JUN	2020	395108	76,6	115,9
JUL	2020	399208	86,9	125,9
AGO	2020	406641	89,9	125,6
SET	2020	412609	94,3	125,5
OUT	2020	418299	93,1	126,6
NOV	2020	423532	96,7	125,7
DEZ	2020	421002	91,9	123,5
JAN	2021	422683	81,2	81,2
FEV	2021	421702	80,6	98,1
